date,S&P500,FTSE100,DAX40
37893.00,1029.85,4274.00,3419.00
37900.00,1038.06,4311.00,3471.25
37907.00,1039.32,4344.00,3516.67
37914.00,1028.91,4239.00,3452.64
37921.00,1050.71,4287.60,3655.99
37928.00,1053.21,4376.90,3782.56
37935.00,1050.35,4397.00,3797.40
37942.00,1035.28,4319.00,3642.25
37949.00,1058.20,4342.60,3745.95
37956.00,1061.50,4367.00,3841.73
37963.00,1074.14,4347.60,3860.13
37970.00,1088.66,4412.30,3898.42
37977.00,1095.89,4444.70,3903.34
37984.00,1108.49,4510.20,4018.50
37991.00,1121.86,4466.30,4016.18
37998.00,1139.83,4487.90,4111.64
38005.00,1141.55,4460.80,4151.83
38012.00,1131.13,4390.70,4058.60
38019.00,1142.76,4402.70,4044.99
38026.00,1145.81,4412.00,4057.05
38033.00,1144.11,4515.00,4073.35
38040.00,1144.94,4492.20,4018.16
38047.00,1156.86,4547.10,4126.14
38054.00,1120.60,4467.40,3915.38
38061.00,1109.74,4417.70,3819.15
38068.00,1108.03,4357.50,3822.33
38075.00,1141.80,4465.60,4007.60
38082.00,1139.33,4489.70,4013.53
38089.00,1134.57,4537.30,4033.98
38096.00,1140.60,4570.00,4103.62
38103.00,1107.24,4489.70,3985.21
38110.00,1098.69,4498.40,3895.64
38117.00,1095.66,4441.80,3803.10
38124.00,1093.59,4431.40,3831.84
38131.00,1120.64,4430.70,3902.72
38138.00,1122.51,4454.40,3961.93
38145.00,1136.47,4484.00,4014.56
38152.00,1135.00,4505.80,3999.79
38159.00,1134.32,4494.10,4013.35
38166.00,1125.38,4407.40,3998.77
38173.00,1112.81,4393.20,3924.49
38180.00,1101.40,4339.20,3845.93
38187.00,1086.20,4326.30,3797.33
38194.00,1101.72,4413.10,3895.61
38201.00,1063.97,4337.90,3727.74
38208.00,1064.80,4301.50,3646.99
38215.00,1098.35,4369.20,3712.61
38222.00,1107.77,4490.10,3851.18
38229.00,1113.63,4550.80,3866.99
38236.00,1123.92,4545.00,3886.03
38243.00,1128.55,4591.00,3988.07
38250.00,1110.11,4578.10,3910.30
38257.00,1131.50,4659.60,3994.96
38264.00,1122.14,4698.90,4015.54
38271.00,1108.20,4622.70,3922.11
38278.00,1095.74,4615.40,3935.14
38285.00,1130.20,4624.20,3960.25
38292.00,1166.17,4739.80,4063.58
38299.00,1184.17,4793.90,4143.35
38306.00,1170.34,4760.80,4134.89
38313.00,1182.65,4741.50,4154.27
38320.00,1191.17,4747.90,4208.87
38327.00,1188.00,4694.00,4174.55
38334.00,1194.22,4696.80,4182.27
38341.00,1210.13,4798.10,4251.62
38348.00,1211.92,4814.30,4256.08
38355.00,1186.19,4854.10,4316.40
38362.00,1184.52,4820.80,4232.36
38369.00,1167.87,4803.30,4213.70
38376.00,1171.36,4832.80,4201.81
38383.00,1203.03,4941.50,4339.28
38390.00,1205.30,5044.20,4387.80
38397.00,1201.59,5057.20,4359.47
38404.00,1211.37,5006.80,4348.64
38411.00,1222.12,5036.30,4423.52
38418.00,1200.08,4982.00,4360.49
38425.00,1189.65,4923.30,4327.18
38432.00,1171.42,4922.50,4343.60
38439.00,1172.92,4914.00,4373.53
38446.00,1181.20,4983.60,4400.68
38453.00,1142.62,4891.60,4312.25
38460.00,1152.12,4849.30,4223.04
38467.00,1156.85,4801.70,4184.84
38474.00,1171.35,4918.90,4311.06
38481.00,1154.05,4886.50,4275.70
38488.00,1189.28,4971.80,4360.68
38495.00,1198.78,4986.30,4444.71
38502.00,1196.02,4999.40,4510.39
38509.00,1198.11,5030.40,4586.10
38516.00,1216.96,5077.60,4604.57
38523.00,1191.57,5079.00,4566.48
38530.00,1194.44,5161.00,4617.07
38537.00,1211.86,5232.20,4597.97
38544.00,1227.92,5230.80,4712.90
38551.00,1233.68,5241.80,4836.90
38558.00,1234.18,5282.30,4886.50
38565.00,1226.42,5314.70,4827.18
38572.00,1230.39,5345.80,4937.33
38579.00,1219.71,5312.60,4929.91
38586.00,1205.10,5228.10,4783.80
38593.00,1218.02,5326.80,4837.81
38600.00,1241.48,5359.30,5005.93
38607.00,1237.91,5407.90,4986.50
38614.00,1215.29,5413.60,4882.58
38621.00,1228.81,5477.70,5044.12
38628.00,1195.90,5362.30,5007.77
38635.00,1186.57,5275.00,4975.56
38642.00,1179.59,5142.10,4838.40
38649.00,1198.41,5213.40,4825.64
38656.00,1220.14,5423.60,4995.24
38663.00,1234.72,5465.10,5090.75
38670.00,1248.27,5498.90,5123.50
38677.00,1268.25,5523.80,5194.27
38684.00,1265.08,5528.10,5307.99
